"recipe_ID","source","recipe_component","tag1","tag2","tag3","item","quantity","unit","department"
"Chicago_thin_crust_pizza","Cook's Country Season 12, Italian comfort food classics","crust",,,,"all-purpose flout","12.5","oz","dry"
"Chicago_thin_crust_pizza","Cook's Country Season 12, Italian comfort food classics","crust",,,,"sugar","2","tsp","dry"
"Chicago_thin_crust_pizza","Cook's Country Season 12, Italian comfort food classics","crust",,,,"instant yeast","1.5","tsp","dry"
"Chicago_thin_crust_pizza","Cook's Country Season 12, Italian comfort food classics","crust",,,,"salt","1","tsp","spices"
"Chicago_thin_crust_pizza","Cook's Country Season 12, Italian comfort food classics","crust",,,,"olive oil","2","Tbsp","dry"
"Chicago_thin_crust_pizza","Cook's Country Season 12, Italian comfort food classics","toppings",,,,"sweet Italian sausage","12","oz","meat"
"Chicago_thin_crust_pizza","Cook's Country Season 12, Italian comfort food classics","toppings",,,,"whole-milk mozzarella","12","oz","dairy"
"Chicago_thin_crust_pizza","Cook's Country Season 12, Italian comfort food classics","sauce",,,,"dried oregano","0.5","tsp","spices"
"Chicago_thin_crust_pizza","Cook's Country Season 12, Italian comfort food classics","sauce",,,,"tomato sauce","1","8-oz can","canned"
"Chicago_thin_crust_pizza","Cook's Country Season 12, Italian comfort food classics","sauce",,,,"tomato paste","1","Tbsp","canned"
"Chicago_thin_crust_pizza","Cook's Country Season 12, Italian comfort food classics","sauce",,,,"Italian seasoning","0.5","tsp","spices"
"Chicago_thin_crust_pizza","Cook's Country Season 12, Italian comfort food classics","sauce",,,,"sugar","2","tsp","dry"
"Chicago_thin_crust_pizza","Cook's Country Season 12, Italian comfort food classics","sauce",,,,"fennel seeds","0.5","tsp","spices"
