meal_ID,source,tag1,tag2,tag3,item,quantity,unit,department
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,vegetable oil,1,Tbsp,dry
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,chili powder,1,tsp,spices
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,onion powder,1,tsp,spices
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,garlic powder,0.25,tsp,spices
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,chicken broth,1.5,cup,dry
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,poblano chiles,6,unit,produce
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,Meunster cheese,8,oz,dairy
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,wooden skewers,6,unit,other
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,all-purpose flour,1.5,cup,dry
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,corn starch,1.25,cup,dry
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,tomato sauce,15,oz,canned
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,adobo sauce,1,tsp,canned
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,bay leaf,1,unit,spices
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,lime juice,1,Tbsp,produce
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,baking powder,2,tsp,dry
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,mild lager,1.5,cups,beer/wine/spirits
Chile_rellenos,The Best of America's Test Kitchen 2017,,,,peanut oil/vegetable oil,3,quarts,dry
