meal_ID,source,tag1,tag2,tag3,item,quantity,unit,department
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,coarsely ground beef chuck,1,lb,meat
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,coarsely ground pork shoulder,1,lb,meat
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,yellow onion,2,unit,produce
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,carrot,1,unit,produce
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,celery stalks,2,unit,produce
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,dry red wine,1.5,cup,beer/wine/spirits
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,chicken/beef stock,2,cup,dry
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,whole milk,2,cup,dairy
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,bay leaves,2,unit,spices
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,lemon zest,1,strip,produce
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,orange zest,1,strip,produce
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,cinnamon stick,1,unit,spices
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,tomato paste,5,Tbsp,canned
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,parmasean cheese,1,unit,dairy
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,pasta,1,lb,dry
Samin_ragu,"Salt, Fat, Acid, Heat p. 297",,,,butter,4,Tbsp,dairy
