meal_ID,source,tag1,tag2,tag3,item,quantity,unit,department
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,black beans,2,15-ounce cans,dry
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,eggs,2,unit,refrigerated
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,all-purpose flour,2,Tbsp,dry
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,scallions,4,unit,produce
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,cilantro,3,Tbsp minced,produce
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,garlic,2,cloves,produce
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,ground cumin,1,tsp,spices
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,hot sauce,1,tsp,spices
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,coriander,0.5,tsp,spices
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,salt,0.25,tsp,spices
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,pepper,0.25,tsp,spices
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,tortilla chips,1,oz,dry
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,vegetable oil,8,tsp,dry
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,hamburger buns,6,unit,bread
black_bean_burgers,The Best of America's Test Kitchen 2017,make-ahead,vegetarian,burger,burger toppings,1,unit,produce
