meal,item,amount,category,source
Ropa Vieja,flank steak,2 lb,meat,Cook's Country 2017 June/July
Ropa Vieja,green olives,1 can,dry/canned,
Ropa Vieja,dry white wine,1 bottle,alcohol,
staple,bay leaves,,dry/canned,
Spicy Italian sausage with Cheddar Grits and Cherry Tomatoes,hot Italian sausage,1 lb,meat,
,onions,1 bag,produce,
,quick-cooking grits,0.75 cup,dry/canned,
,cherry tomatoes,10 oz,produce,
,hot cherry peppers,3 Tablespoons,dry/canned,
,chicken broth,0.75 cup,dry/canned,
,eggs,36,refrig,
staple,sausage,2 lb ,meat,
staple,yogurt,2 tubs,refrig,
staple,cheese bricks,3,refrig,
Korean-Style Sloppy Joes with Kimchi Slaw,kimchi,1 jar,dry/canned,Cook's Country 2020 February/March
Korean-Style Sloppy Joes with Kimchi Slaw,ground beef,1 lb ,meat,
staple,whipped butter,1 tub,refrig,
staple,pepper corns,,dry/canned,
"Bucatini with Peaks, Kale, and Pancetta",pancetta,2 oz,meat,Cook's Country 2020 December/January
,chicken broth,2 cups,dry/canned,
,lemons for zest,1 Tablespoon,produce,
,panko bread crumbs,0.5 cup,dry/canned,
,kale,5 cups,produce,
,frozen peas,1 cup,frozen,
staple,garlic,2 head,produce,
pizza,,,,
staple,waffles,2 boxes,frozen,
Black Bean Burgers,canned black beans,6 cans,dry/canned,ATK The Best of 2017
,tobasco,1 bottle,dry/canned,
,tortilla chips,1 bag,dry/canned,
,hamburger buns,2 bags,bread,
,iceberg lettuce,1 head,produce,
,red onion,1,produce,
,avocado,1,produce,
,feta cheese,1 oz,refrig,
