recipe_ID,source,tag1,tag2,tag3,recipe_component,item,quantity,unit,department
staple,-,-,-,-,,english muffins,1,bag,bread
staple,-,-,-,-,,yogurt,2,container,dairy
staple,-,-,-,-,,brick cheese,3,bricks,dairy
staple,-,-,-,-,,sliced American cheese,1,bag,dairy
staple,-,-,-,-,,olives,1,container,deli
staple,-,-,-,-,,salad kit,2,unit,produce
staple,-,-,-,-,,frozen waffles,1,box,frozen
staple,-,-,-,-,,whole chicken,1,unit,meat
staple,-,-,-,-,,frozen vegetables,2,bag,frozen
staple,-,-,-,-,,frozen fruit for mead,1,bag,frozen
staple,-,-,-,-,,oranges/grapefruits,1,bag,produce
staple,-,-,-,-,,fresh herbs,1,bunch,produce
staple,-,-,-,-,,queso fresco,1,unit,deli
staple,-,-,-,-,,vinegar,1,gallon,dry
staple,-,-,-,-,,pancake syrup,1,unit,dry
staple,-,-,-,-,,fruit preserves,1,unit,dry
staple,-,-,-,-,,sandwich bread,1,unit,deli
staple,-,-,-,-,,popcorn,1,unit,dry
staple,-,-,-,-,,fresh mozzarella,1,ball,deli
NA,NA,NA,NA,NA,,NA,NA,NA,NA
